




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-12-09
Analyzed List:	cluster2.txt (Danio rerio)
Reference List:	backgroundlist_35562genes.txt (Danio rerio)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	backgroundlist_35562genes.txt - REFLIST (23232)	cluster2.txt (552)	cluster2.txt (expected)	cluster2.txt (over/under)	cluster2.txt (fold Enrichment)	cluster2.txt (raw P-value)	cluster2.txt (FDR)
pyrimidine nucleotide biosynthetic process (GO:0006221)	32	1	.76	+	1.32	5.40E-01	1.00E00
actin polymerization or depolymerization (GO:0008154)	32	1	.76	+	1.32	5.40E-01	1.00E00
positive regulation of stress-activated protein kinase signaling cascade (GO:0070304)	32	1	.76	+	1.32	5.40E-01	1.00E00
homologous recombination (GO:0035825)	32	1	.76	+	1.32	5.40E-01	1.00E00
myeloid cell homeostasis (GO:0002262)	97	3	2.30	+	1.30	5.06E-01	1.00E00
regulation of gene expression, epigenetic (GO:0040029)	97	3	2.30	+	1.30	5.06E-01	1.00E00
response to external stimulus (GO:0009605)	844	26	20.05	+	1.30	2.05E-01	1.00E00
fin regeneration (GO:0031101)	65	2	1.54	+	1.29	6.70E-01	1.00E00
mRNA catabolic process (GO:0006402)	65	2	1.54	+	1.29	6.70E-01	1.00E00
regulation of GTPase activity (GO:0043087)	163	5	3.87	+	1.29	6.00E-01	1.00E00
endomembrane system organization (GO:0010256)	164	5	3.90	+	1.28	6.01E-01	1.00E00
determination of bilateral symmetry (GO:0009855)	230	7	5.46	+	1.28	5.10E-01	1.00E00
specification of symmetry (GO:0009799)	230	7	5.46	+	1.28	5.10E-01	1.00E00
response to inorganic substance (GO:0010035)	99	3	2.35	+	1.28	5.14E-01	1.00E00
protein-containing complex disassembly (GO:0032984)	66	2	1.57	+	1.28	6.73E-01	1.00E00
nucleobase metabolic process (GO:0009112)	33	1	.78	+	1.28	5.50E-01	1.00E00
calcium ion transmembrane import into cytosol (GO:0097553)	33	1	.78	+	1.28	5.50E-01	1.00E00
chromatin organization involved in negative regulation of transcription (GO:0097549)	33	1	.78	+	1.28	5.50E-01	1.00E00
chromatin silencing (GO:0006342)	33	1	.78	+	1.28	5.50E-01	1.00E00
maintenance of protein location in cell (GO:0032507)	33	1	.78	+	1.28	5.50E-01	1.00E00
negative regulation of cell cycle phase transition (GO:1901988)	33	1	.78	+	1.28	5.50E-01	1.00E00
response to antibiotic (GO:0046677)	33	1	.78	+	1.28	5.50E-01	1.00E00
epithelial cell migration (GO:0010631)	33	1	.78	+	1.28	5.50E-01	1.00E00
positive regulation of canonical Wnt signaling pathway (GO:0090263)	33	1	.78	+	1.28	5.50E-01	1.00E00
peptidyl-lysine methylation (GO:0018022)	33	1	.78	+	1.28	5.50E-01	1.00E00
negative regulation of sequestering of calcium ion (GO:0051283)	33	1	.78	+	1.28	5.50E-01	1.00E00
negative regulation of gene expression, epigenetic (GO:0045814)	33	1	.78	+	1.28	5.50E-01	1.00E00
aromatic compound catabolic process (GO:0019439)	165	5	3.92	+	1.28	6.02E-01	1.00E00
calcium ion transport into cytosol (GO:0060402)	33	1	.78	+	1.28	5.50E-01	1.00E00
positive regulation of MAP kinase activity (GO:0043406)	66	2	1.57	+	1.28	6.73E-01	1.00E00
striated muscle tissue development (GO:0014706)	166	5	3.94	+	1.27	6.03E-01	1.00E00
alpha-amino acid metabolic process (GO:1901605)	133	4	3.16	+	1.27	5.63E-01	1.00E00
regulation of actin filament organization (GO:0110053)	133	4	3.16	+	1.27	5.63E-01	1.00E00
nuclear chromosome segregation (GO:0098813)	100	3	2.38	+	1.26	5.18E-01	1.00E00
regulation of catabolic process (GO:0009894)	200	6	4.75	+	1.26	4.85E-01	1.00E00
negative regulation of cell adhesion (GO:0007162)	67	2	1.59	+	1.26	6.75E-01	1.00E00
regulation of mitotic cell cycle phase transition (GO:1901990)	67	2	1.59	+	1.26	6.75E-01	1.00E00
cell-cell adhesion (GO:0098609)	235	7	5.58	+	1.25	5.15E-01	1.00E00
histone modification (GO:0016570)	135	4	3.21	+	1.25	5.68E-01	1.00E00
regulation of intracellular signal transduction (GO:1902531)	575	17	13.66	+	1.24	3.34E-01	1.00E00
cellular response to DNA damage stimulus (GO:0006974)	339	10	8.05	+	1.24	4.71E-01	1.00E00
regulation of catalytic activity (GO:0050790)	645	19	15.33	+	1.24	3.58E-01	1.00E00
phosphatidylinositol-mediated signaling (GO:0048015)	34	1	.81	+	1.24	5.61E-01	1.00E00
non-canonical Wnt signaling pathway (GO:0035567)	34	1	.81	+	1.24	5.61E-01	1.00E00
transition metal ion transport (GO:0000041)	68	2	1.62	+	1.24	6.78E-01	1.00E00
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	34	1	.81	+	1.24	5.61E-01	1.00E00
purine nucleoside triphosphate biosynthetic process (GO:0009145)	34	1	.81	+	1.24	5.61E-01	1.00E00
ribonucleoside metabolic process (GO:0009119)	34	1	.81	+	1.24	5.61E-01	1.00E00
regulation of DNA repair (GO:0006282)	34	1	.81	+	1.24	5.61E-01	1.00E00
cellular response to lipopolysaccharide (GO:0071222)	34	1	.81	+	1.24	5.61E-01	1.00E00
cellular response to molecule of bacterial origin (GO:0071219)	34	1	.81	+	1.24	5.61E-01	1.00E00
pyrimidine nucleotide metabolic process (GO:0006220)	34	1	.81	+	1.24	5.61E-01	1.00E00
negative regulation of protein depolymerization (GO:1901880)	34	1	.81	+	1.24	5.61E-01	1.00E00
positive regulation of transferase activity (GO:0051347)	204	6	4.85	+	1.24	4.93E-01	1.00E00
cardiac chamber development (GO:0003205)	34	1	.81	+	1.24	5.61E-01	1.00E00
cell differentiation involved in kidney development (GO:0061005)	34	1	.81	+	1.24	5.61E-01	1.00E00
epithelial cell differentiation involved in kidney development (GO:0035850)	34	1	.81	+	1.24	5.61E-01	1.00E00
cellular response to stress (GO:0033554)	649	19	15.42	+	1.23	3.60E-01	1.00E00
muscle tissue development (GO:0060537)	172	5	4.09	+	1.22	6.11E-01	1.00E00
protein localization to membrane (GO:0072657)	173	5	4.11	+	1.22	6.12E-01	1.00E00
organelle organization (GO:0006996)	1837	53	43.65	+	1.21	1.51E-01	1.00E00
covalent chromatin modification (GO:0016569)	139	4	3.30	+	1.21	5.77E-01	1.00E00
mesenchymal cell differentiation (GO:0048762)	139	4	3.30	+	1.21	5.77E-01	1.00E00
multicellular organismal signaling (GO:0035637)	35	1	.83	+	1.20	5.71E-01	1.00E00
DNA damage checkpoint (GO:0000077)	35	1	.83	+	1.20	5.71E-01	1.00E00
muscle fiber development (GO:0048747)	70	2	1.66	+	1.20	6.84E-01	1.00E00
establishment of protein localization to vacuole (GO:0072666)	35	1	.83	+	1.20	5.71E-01	1.00E00
protein-containing complex localization (GO:0031503)	105	3	2.49	+	1.20	7.41E-01	1.00E00
response to oxidative stress (GO:0006979)	70	2	1.66	+	1.20	6.84E-01	1.00E00
positive regulation of phosphorylation (GO:0042327)	351	10	8.34	+	1.20	4.84E-01	1.00E00
lateral line system development (GO:0048925)	106	3	2.52	+	1.19	7.43E-01	1.00E00
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	71	2	1.69	+	1.19	6.87E-01	1.00E00
biological_process (GO:0008150)	15802	444	375.46	+	1.18	1.30E-10	1.58E-08
DNA metabolic process (GO:0006259)	356	10	8.46	+	1.18	5.97E-01	1.00E00
behavior (GO:0007610)	178	5	4.23	+	1.18	6.20E-01	1.00E00
cellular process (GO:0009987)	11027	309	262.01	+	1.18	8.46E-05	4.69E-03
vasculature development (GO:0001944)	393	11	9.34	+	1.18	5.07E-01	1.00E00
regulation of vesicle-mediated transport (GO:0060627)	143	4	3.40	+	1.18	5.87E-01	1.00E00
organelle fission (GO:0048285)	143	4	3.40	+	1.18	5.87E-01	1.00E00
chromosome organization (GO:0051276)	468	13	11.12	+	1.17	5.39E-01	1.00E00
regulation of protein ubiquitination (GO:0031396)	36	1	.86	+	1.17	5.81E-01	1.00E00
small GTPase mediated signal transduction (GO:0007264)	252	7	5.99	+	1.17	6.74E-01	1.00E00
retinal ganglion cell axon guidance (GO:0031290)	36	1	.86	+	1.17	5.81E-01	1.00E00
stress-activated protein kinase signaling cascade (GO:0031098)	72	2	1.71	+	1.17	6.91E-01	1.00E00
maintenance of protein location (GO:0045185)	36	1	.86	+	1.17	5.81E-01	1.00E00
RNA phosphodiester bond hydrolysis (GO:0090501)	36	1	.86	+	1.17	5.81E-01	1.00E00
cellular response to biotic stimulus (GO:0071216)	36	1	.86	+	1.17	5.81E-01	1.00E00
nucleoside diphosphate phosphorylation (GO:0006165)	36	1	.86	+	1.17	5.81E-01	1.00E00
polyol metabolic process (GO:0019751)	72	2	1.71	+	1.17	6.91E-01	1.00E00
cofactor catabolic process (GO:0051187)	36	1	.86	+	1.17	5.81E-01	1.00E00
cytosolic calcium ion transport (GO:0060401)	36	1	.86	+	1.17	5.81E-01	1.00E00
organic cyclic compound catabolic process (GO:1901361)	180	5	4.28	+	1.17	6.23E-01	1.00E00
positive regulation of phosphorus metabolic process (GO:0010562)	361	10	8.58	+	1.17	6.00E-01	1.00E00
positive regulation of phosphate metabolic process (GO:0045937)	361	10	8.58	+	1.17	6.00E-01	1.00E00
regulation of cellular protein metabolic process (GO:0032268)	760	21	18.06	+	1.16	4.67E-01	1.00E00
digestive system development (GO:0055123)	109	3	2.59	+	1.16	7.47E-01	1.00E00
cardiovascular system development (GO:0072358)	400	11	9.50	+	1.16	6.18E-01	1.00E00
cellular response to growth factor stimulus (GO:0071363)	146	4	3.47	+	1.15	7.81E-01	1.00E00
DNA-dependent DNA replication (GO:0006261)	73	2	1.73	+	1.15	6.94E-01	1.00E00
secretion (GO:0046903)	183	5	4.35	+	1.15	6.28E-01	1.00E00
regulation of protein metabolic process (GO:0051246)	806	22	19.15	+	1.15	4.81E-01	1.00E00
homeostasis of number of cells (GO:0048872)	110	3	2.61	+	1.15	7.48E-01	1.00E00
response to growth factor (GO:0070848)	147	4	3.49	+	1.15	7.82E-01	1.00E00
response to stimulus (GO:0050896)	4952	134	117.66	+	1.14	1.03E-01	1.00E00
polysaccharide biosynthetic process (GO:0000271)	37	1	.88	+	1.14	5.91E-01	1.00E00
negative regulation of protein complex disassembly (GO:0043242)	37	1	.88	+	1.14	5.91E-01	1.00E00
inositol lipid-mediated signaling (GO:0048017)	37	1	.88	+	1.14	5.91E-01	1.00E00
ATP-dependent chromatin remodeling (GO:0043044)	37	1	.88	+	1.14	5.91E-01	1.00E00
nucleotide phosphorylation (GO:0046939)	37	1	.88	+	1.14	5.91E-01	1.00E00
erythrocyte development (GO:0048821)	37	1	.88	+	1.14	5.91E-01	1.00E00
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	37	1	.88	+	1.14	5.91E-01	1.00E00
epithelium migration (GO:0090132)	37	1	.88	+	1.14	5.91E-01	1.00E00
chromatin organization involved in regulation of transcription (GO:0034401)	37	1	.88	+	1.14	5.91E-01	1.00E00
cellular polysaccharide biosynthetic process (GO:0033692)	37	1	.88	+	1.14	5.91E-01	1.00E00
response to chemical (GO:0042221)	1333	36	31.67	+	1.14	4.06E-01	1.00E00
neural crest cell development (GO:0014032)	112	3	2.66	+	1.13	7.51E-01	1.00E00
mesenchymal cell development (GO:0014031)	112	3	2.66	+	1.13	7.51E-01	1.00E00
organic anion transport (GO:0015711)	224	6	5.32	+	1.13	6.60E-01	1.00E00
stem cell development (GO:0048864)	112	3	2.66	+	1.13	7.51E-01	1.00E00
positive regulation of molecular function (GO:0044093)	448	12	10.64	+	1.13	6.38E-01	1.00E00
cell adhesion (GO:0007155)	449	12	10.67	+	1.12	6.38E-01	1.00E00
biological adhesion (GO:0022610)	449	12	10.67	+	1.12	6.38E-01	1.00E00
hematopoietic progenitor cell differentiation (GO:0002244)	75	2	1.78	+	1.12	7.00E-01	1.00E00
negative regulation of cell population proliferation (GO:0008285)	75	2	1.78	+	1.12	7.00E-01	1.00E00
histone methylation (GO:0016571)	38	1	.90	+	1.11	6.00E-01	1.00E00
purine ribonucleoside triphosphate metabolic process (GO:0009205)	38	1	.90	+	1.11	6.00E-01	1.00E00
cyclic nucleotide metabolic process (GO:0009187)	38	1	.90	+	1.11	6.00E-01	1.00E00
cellular transition metal ion homeostasis (GO:0046916)	38	1	.90	+	1.11	6.00E-01	1.00E00
negative regulation of cell migration (GO:0030336)	38	1	.90	+	1.11	6.00E-01	1.00E00
nucleotide-excision repair (GO:0006289)	38	1	.90	+	1.11	6.00E-01	1.00E00
embryonic hemopoiesis (GO:0035162)	76	2	1.81	+	1.11	7.03E-01	1.00E00
regulation of cell cycle phase transition (GO:1901987)	76	2	1.81	+	1.11	7.03E-01	1.00E00
protein localization to vacuole (GO:0072665)	38	1	.90	+	1.11	6.00E-01	1.00E00
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	38	1	.90	+	1.11	6.00E-01	1.00E00
ameboidal-type cell migration (GO:0001667)	191	5	4.54	+	1.10	8.09E-01	1.00E00
protein modification by small protein conjugation or removal (GO:0070647)	421	11	10.00	+	1.10	7.45E-01	1.00E00
purine ribonucleotide biosynthetic process (GO:0009152)	115	3	2.73	+	1.10	7.56E-01	1.00E00
response to stress (GO:0006950)	1265	33	30.06	+	1.10	5.69E-01	1.00E00
circulatory system development (GO:0072359)	769	20	18.27	+	1.09	6.31E-01	1.00E00
signaling (GO:0023052)	3577	93	84.99	+	1.09	3.41E-01	1.00E00
negative regulation of mitotic cell cycle (GO:0045930)	77	2	1.83	+	1.09	7.06E-01	1.00E00
digestive tract development (GO:0048565)	77	2	1.83	+	1.09	7.06E-01	1.00E00
positive regulation of protein serine/threonine kinase activity (GO:0071902)	77	2	1.83	+	1.09	7.06E-01	1.00E00
actomyosin structure organization (GO:0031032)	116	3	2.76	+	1.09	7.57E-01	1.00E00
positive regulation of protein modification process (GO:0031401)	348	9	8.27	+	1.09	7.23E-01	1.00E00
cellular response to stimulus (GO:0051716)	4068	105	96.66	+	1.09	3.65E-01	1.00E00
Ras protein signal transduction (GO:0007265)	194	5	4.61	+	1.08	8.11E-01	1.00E00
cell-cell signaling (GO:0007267)	505	13	12.00	+	1.08	7.67E-01	1.00E00
establishment or maintenance of cell polarity (GO:0007163)	117	3	2.78	+	1.08	7.59E-01	1.00E00
regulation of calcium ion transport (GO:0051924)	39	1	.93	+	1.08	6.09E-01	1.00E00
regulation of apoptotic signaling pathway (GO:2001233)	39	1	.93	+	1.08	6.09E-01	1.00E00
signal release (GO:0023061)	78	2	1.85	+	1.08	7.09E-01	1.00E00
signal transduction by protein phosphorylation (GO:0023014)	78	2	1.85	+	1.08	7.09E-01	1.00E00
dorsal/ventral pattern formation (GO:0009953)	117	3	2.78	+	1.08	7.59E-01	1.00E00
regulation of JNK cascade (GO:0046328)	39	1	.93	+	1.08	6.09E-01	1.00E00
regulation of ERK1 and ERK2 cascade (GO:0070372)	78	2	1.85	+	1.08	7.09E-01	1.00E00
neuromuscular junction development (GO:0007528)	39	1	.93	+	1.08	6.09E-01	1.00E00
aromatic compound biosynthetic process (GO:0019438)	468	12	11.12	+	1.08	7.58E-01	1.00E00
regulation of biological quality (GO:0065008)	1680	43	39.92	+	1.08	6.18E-01	1.00E00
import into cell (GO:0098657)	313	8	7.44	+	1.08	8.51E-01	1.00E00
signal transduction (GO:0007165)	3369	86	80.05	+	1.07	4.64E-01	1.00E00
small molecule biosynthetic process (GO:0044283)	275	7	6.53	+	1.07	8.41E-01	1.00E00
purine nucleotide metabolic process (GO:0006163)	197	5	4.68	+	1.07	8.13E-01	1.00E00
heterocycle biosynthetic process (GO:0018130)	473	12	11.24	+	1.07	7.60E-01	1.00E00
chromatin organization (GO:0006325)	316	8	7.51	+	1.07	8.51E-01	1.00E00
positive regulation of cell migration (GO:0030335)	79	2	1.88	+	1.07	7.13E-01	1.00E00
cell junction organization (GO:0034330)	79	2	1.88	+	1.07	7.13E-01	1.00E00
purine nucleotide biosynthetic process (GO:0006164)	119	3	2.83	+	1.06	7.62E-01	1.00E00
cell communication (GO:0007154)	3640	91	86.49	+	1.05	5.94E-01	1.00E00
cilium assembly (GO:0060271)	200	5	4.75	+	1.05	8.15E-01	1.00E00
regulation of protein modification by small protein conjugation or removal (GO:1903320)	40	1	.95	+	1.05	6.18E-01	1.00E00
carbohydrate derivative catabolic process (GO:1901136)	80	2	1.90	+	1.05	7.16E-01	1.00E00
exocrine pancreas development (GO:0031017)	40	1	.95	+	1.05	6.18E-01	1.00E00
RNA catabolic process (GO:0006401)	80	2	1.90	+	1.05	7.16E-01	1.00E00
exocrine system development (GO:0035272)	40	1	.95	+	1.05	6.18E-01	1.00E00
synaptic transmission, glutamatergic (GO:0035249)	40	1	.95	+	1.05	6.18E-01	1.00E00
cardiac muscle tissue development (GO:0048738)	80	2	1.90	+	1.05	7.16E-01	1.00E00
antibiotic metabolic process (GO:0016999)	40	1	.95	+	1.05	6.18E-01	1.00E00
negative regulation of cell motility (GO:2000146)	40	1	.95	+	1.05	6.18E-01	1.00E00
regulation of sequestering of calcium ion (GO:0051282)	40	1	.95	+	1.05	6.18E-01	1.00E00
cell maturation (GO:0048469)	40	1	.95	+	1.05	6.18E-01	1.00E00
response to radiation (GO:0009314)	161	4	3.83	+	1.05	7.95E-01	1.00E00
skeletal system morphogenesis (GO:0048705)	202	5	4.80	+	1.04	8.16E-01	1.00E00
positive regulation of programmed cell death (GO:0043068)	81	2	1.92	+	1.04	7.19E-01	1.00E00
positive regulation of apoptotic process (GO:0043065)	81	2	1.92	+	1.04	7.19E-01	1.00E00
positive regulation of cell death (GO:0010942)	81	2	1.92	+	1.04	7.19E-01	1.00E00
mesoderm development (GO:0007498)	81	2	1.92	+	1.04	7.19E-01	1.00E00
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	122	3	2.90	+	1.03	7.67E-01	1.00E00
RNA processing (GO:0006396)	491	12	11.67	+	1.03	8.81E-01	1.00E00
carboxylic acid transport (GO:0046942)	123	3	2.92	+	1.03	7.69E-01	1.00E00
neural crest cell differentiation (GO:0014033)	123	3	2.92	+	1.03	7.69E-01	1.00E00
cytoskeleton-dependent intracellular transport (GO:0030705)	82	2	1.95	+	1.03	7.22E-01	1.00E00
ribonucleoside triphosphate biosynthetic process (GO:0009201)	41	1	.97	+	1.03	6.27E-01	1.00E00
tissue migration (GO:0090130)	41	1	.97	+	1.03	6.27E-01	1.00E00
DNA integrity checkpoint (GO:0031570)	41	1	.97	+	1.03	6.27E-01	1.00E00
negative regulation of DNA metabolic process (GO:0051053)	41	1	.97	+	1.03	6.27E-01	1.00E00
regulation of transport (GO:0051049)	451	11	10.72	+	1.03	8.76E-01	1.00E00
organic cyclic compound biosynthetic process (GO:1901362)	534	13	12.69	+	1.02	8.85E-01	1.00E00
nucleobase-containing compound biosynthetic process (GO:0034654)	415	10	9.86	+	1.01	8.71E-01	1.00E00
regulation of exocytosis (GO:0017157)	83	2	1.97	+	1.01	7.26E-01	1.00E00
cellular response to oxygen-containing compound (GO:1901701)	209	5	4.97	+	1.01	8.22E-01	1.00E00
negative regulation of actin filament polymerization (GO:0030837)	42	1	1.00	+	1.00	1.00E00	1.00E00
nephron epithelium development (GO:0072009)	42	1	1.00	+	1.00	1.00E00	1.00E00
cardiac muscle cell differentiation (GO:0055007)	42	1	1.00	+	1.00	1.00E00	1.00E00
nucleoside diphosphate metabolic process (GO:0009132)	42	1	1.00	+	1.00	1.00E00	1.00E00
phospholipid dephosphorylation (GO:0046839)	42	1	1.00	+	1.00	1.00E00	1.00E00
negative regulation of protein polymerization (GO:0032272)	42	1	1.00	+	1.00	1.00E00	1.00E00
regulation of reproductive process (GO:2000241)	42	1	1.00	+	1.00	1.00E00	1.00E00
regulation of proteasomal protein catabolic process (GO:0061136)	42	1	1.00	+	1.00	1.00E00	1.00E00
reactive oxygen species metabolic process (GO:0072593)	42	1	1.00	+	1.00	1.00E00	1.00E00
ribonucleotide biosynthetic process (GO:0009260)	127	3	3.02	-	.99	1.00E00	1.00E00
organic acid transport (GO:0015849)	127	3	3.02	-	.99	1.00E00	1.00E00
purine-containing compound biosynthetic process (GO:0072522)	127	3	3.02	-	.99	1.00E00	1.00E00
Rab protein signal transduction (GO:0032482)	85	2	2.02	-	.99	1.00E00	1.00E00
locomotory behavior (GO:0007626)	85	2	2.02	-	.99	1.00E00	1.00E00
positive regulation of MAPK cascade (GO:0043410)	170	4	4.04	-	.99	1.00E00	1.00E00
cilium organization (GO:0044782)	213	5	5.06	-	.99	1.00E00	1.00E00
nucleic acid metabolic process (GO:0090304)	1108	26	26.33	-	.99	1.00E00	1.00E00
chromosome segregation (GO:0007059)	128	3	3.04	-	.99	1.00E00	1.00E00
protein modification process (GO:0036211)	1966	46	46.71	-	.98	1.00E00	1.00E00
cellular protein modification process (GO:0006464)	1966	46	46.71	-	.98	1.00E00	1.00E00
secretion by cell (GO:0032940)	171	4	4.06	-	.98	1.00E00	1.00E00
regulation of stress-activated MAPK cascade (GO:0032872)	43	1	1.02	-	.98	1.00E00	1.00E00
microtubule-based movement (GO:0007018)	172	4	4.09	-	.98	1.00E00	1.00E00
microtubule bundle formation (GO:0001578)	43	1	1.02	-	.98	1.00E00	1.00E00
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	43	1	1.02	-	.98	1.00E00	1.00E00
positive regulation of pathway-restricted SMAD protein phosphorylation (GO:0010862)	43	1	1.02	-	.98	1.00E00	1.00E00
vesicle organization (GO:0016050)	129	3	3.07	-	.98	1.00E00	1.00E00
maintenance of location in cell (GO:0051651)	43	1	1.02	-	.98	1.00E00	1.00E00
carboxylic acid biosynthetic process (GO:0046394)	129	3	3.07	-	.98	1.00E00	1.00E00
positive regulation of cell motility (GO:2000147)	86	2	2.04	-	.98	1.00E00	1.00E00
spindle assembly (GO:0051225)	43	1	1.02	-	.98	1.00E00	1.00E00
regulation of stress-activated protein kinase signaling cascade (GO:0070302)	43	1	1.02	-	.98	1.00E00	1.00E00
SMAD protein signal transduction (GO:0060395)	43	1	1.02	-	.98	1.00E00	1.00E00
macromolecule modification (GO:0043412)	2070	48	49.18	-	.98	9.40E-01	1.00E00
stem cell differentiation (GO:0048863)	173	4	4.11	-	.97	1.00E00	1.00E00
establishment of protein localization to membrane (GO:0090150)	87	2	2.07	-	.97	1.00E00	1.00E00
cell recognition (GO:0008037)	87	2	2.07	-	.97	1.00E00	1.00E00
apoptotic process (GO:0006915)	218	5	5.18	-	.97	1.00E00	1.00E00
protein phosphorylation (GO:0006468)	829	19	19.70	-	.96	1.00E00	1.00E00
organic acid biosynthetic process (GO:0016053)	131	3	3.11	-	.96	1.00E00	1.00E00
regulation of cell population proliferation (GO:0042127)	262	6	6.23	-	.96	1.00E00	1.00E00
ribose phosphate biosynthetic process (GO:0046390)	131	3	3.11	-	.96	1.00E00	1.00E00
positive regulation of cellular component movement (GO:0051272)	88	2	2.09	-	.96	1.00E00	1.00E00
regulation of pathway-restricted SMAD protein phosphorylation (GO:0060393)	44	1	1.05	-	.96	1.00E00	1.00E00
purine-containing compound metabolic process (GO:0072521)	221	5	5.25	-	.95	1.00E00	1.00E00
protein maturation (GO:0051604)	89	2	2.11	-	.95	1.00E00	1.00E00
nucleobase-containing small molecule metabolic process (GO:0055086)	312	7	7.41	-	.94	1.00E00	1.00E00
