




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-12-09
Analyzed List:	cluster5.txt (Danio rerio)
Reference List:	backgroundlist_35562genes.txt (Danio rerio)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	backgroundlist_35562genes.txt - REFLIST (23232)	cluster5.txt (452)	cluster5.txt (expected)	cluster5.txt (over/under)	cluster5.txt (fold Enrichment)	cluster5.txt (raw P-value)	cluster5.txt (FDR)
3-keto-sphinganine metabolic process (GO:0006666)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
sphingolipid metabolic process (GO:0006665)	82	0	1.60	-	 < 0.01	4.12E-01	1.00E00
glycolipid metabolic process (GO:0006664)	59	1	1.15	-	.87	1.00E00	1.00E00
glycerol ether metabolic process (GO:0006662)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol biosynthetic process (GO:0006661)	38	2	.74	+	2.71	1.77E-01	1.00E00
phosphatidylserine catabolic process (GO:0006660)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
transforming growth factor beta production (GO:0071604)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
endothelial cell-cell adhesion (GO:0071603)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
phytosphingosine biosynthetic process (GO:0071602)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
calcium-dependent self proteolysis (GO:1990092)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to nerve growth factor stimulus (GO:1990090)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
phosphatidylserine biosynthetic process (GO:0006659)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
phosphatidylserine metabolic process (GO:0006658)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
telomeric D-loop disassembly (GO:0061820)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidylcholine biosynthetic process (GO:0006656)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
phosphatidylglycerol biosynthetic process (GO:0006655)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
phosphatidic acid biosynthetic process (GO:0006654)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
glycerophospholipid metabolic process (GO:0006650)	154	3	3.00	+	1.00	1.00E00	1.00E00
T-helper cell lineage commitment (GO:0002295)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
CD4-positive, alpha-beta T cell differentiation involved in immune response (GO:0002294)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
alpha-beta T cell differentiation involved in immune response (GO:0002293)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
response to nerve growth factor (GO:1990089)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
T cell differentiation involved in immune response (GO:0002292)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum-plasma membrane tethering (GO:0061817)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
phosphatidylethanolamine biosynthetic process (GO:0006646)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
phospholipid metabolic process (GO:0006644)	209	3	4.07	-	.74	8.02E-01	1.00E00
membrane lipid metabolic process (GO:0006643)	116	1	2.26	-	.44	7.30E-01	1.00E00
triglyceride mobilization (GO:0006642)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
triglyceride metabolic process (GO:0006641)	22	0	.43	-	 < 0.01	1.00E00	1.00E00
alpha-beta T cell activation involved in immune response (GO:0002287)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
T cell activation involved in immune response (GO:0002286)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
lymphocyte activation involved in immune response (GO:0002285)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
neutrophil activation involved in immune response (GO:0002283)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
macrophage activation involved in immune response (GO:0002281)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
monocyte activation involved in immune response (GO:0002280)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
acylglycerol metabolic process (GO:0006639)	36	0	.70	-	 < 0.01	1.00E00	1.00E00
neutral lipid metabolic process (GO:0006638)	36	0	.70	-	 < 0.01	1.00E00	1.00E00
acyl-CoA metabolic process (GO:0006637)	46	0	.89	-	 < 0.01	1.00E00	1.00E00
unsaturated fatty acid biosynthetic process (GO:0006636)	16	0	.31	-	 < 0.01	1.00E00	1.00E00
fatty acid beta-oxidation (GO:0006635)	20	0	.39	-	 < 0.01	1.00E00	1.00E00
fatty acid biosynthetic process (GO:0006633)	45	0	.88	-	 < 0.01	1.00E00	1.00E00
fatty acid metabolic process (GO:0006631)	115	0	2.24	-	 < 0.01	2.86E-01	1.00E00
establishment of protein localization to extracellular region (GO:0035592)	38	0	.74	-	 < 0.01	1.00E00	1.00E00
basophil activation involved in immune response (GO:0002276)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
myeloid cell activation involved in immune response (GO:0002275)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
myeloid leukocyte activation (GO:0002274)	17	0	.33	-	 < 0.01	1.00E00	1.00E00
sulfur amino acid catabolic process (GO:0000098)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
sulfur amino acid biosynthetic process (GO:0000097)	12	1	.23	+	4.28	2.22E-01	1.00E00
sulfur amino acid metabolic process (GO:0000096)	20	1	.39	+	2.57	3.33E-01	1.00E00
positive regulation of skeletal muscle fiber differentiation (GO:1902811)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of interleukin-13 biosynthetic process (GO:0045366)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
protein processing involved in protein targeting to mitochondrion (GO:0006627)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
protein targeting to mitochondrion (GO:0006626)	35	0	.68	-	 < 0.01	1.00E00	1.00E00
protein targeting to peroxisome (GO:0006625)	12	0	.23	-	 < 0.01	1.00E00	1.00E00
vacuolar protein processing (GO:0006624)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
G protein-coupled purinergic receptor signaling pathway (GO:0035588)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
protein targeting to vacuole (GO:0006623)	25	1	.49	+	2.06	3.94E-01	1.00E00
purinergic receptor signaling pathway (GO:0035587)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
protein retention in ER lumen (GO:0006621)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
posttranslational protein targeting to endoplasmic reticulum membrane (GO:0006620)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
calcium-mediated signaling using intracellular calcium source (GO:0035584)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
sequestering of TGFbeta in extracellular matrix (GO:0035583)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
sequestering of extracellular ligand from receptor (GO:0035581)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
leukocyte activation involved in inflammatory response (GO:0002269)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of skeletal muscle fiber differentiation (GO:1902809)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell cycle G1/S phase transition (GO:1902808)	11	0	.21	-	 < 0.01	1.00E00	1.00E00
endothelial cell activation involved in immune response (GO:0002264)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
cell activation involved in immune response (GO:0002263)	16	0	.31	-	 < 0.01	1.00E00	1.00E00
D-alanine catabolic process (GO:0055130)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of cell cycle G1/S phase transition (GO:1902806)	21	1	.41	+	2.45	3.46E-01	1.00E00
positive regulation of synaptic vesicle transport (GO:1902805)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
lymphocyte homeostasis (GO:0002260)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of interferon-beta biosynthetic process (GO:0045359)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of synaptic vesicle transport (GO:1902803)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
G2/M transition of mitotic cell cycle (GO:0000086)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
regulation of interferon-beta biosynthetic process (GO:0045357)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
mitotic G1 phase (GO:0000080)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition (GO:0006617)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
acetate ester biosynthetic process (GO:1900620)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
SRP-dependent cotranslational protein targeting to membrane, translocation (GO:0006616)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
nucleoside salvage (GO:0043174)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	15	0	.29	-	 < 0.01	1.00E00	1.00E00
nucleotide salvage (GO:0043173)	18	0	.35	-	 < 0.01	1.00E00	1.00E00
cotranslational protein targeting to membrane (GO:0006613)	16	0	.31	-	 < 0.01	1.00E00	1.00E00
protein targeting to membrane (GO:0006612)	56	0	1.09	-	 < 0.01	6.29E-01	1.00E00
peptide catabolic process (GO:0043171)	26	0	.51	-	 < 0.01	1.00E00	1.00E00
L-proline biosynthetic process (GO:0055129)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
beta-alanine biosynthetic process via 3-ureidopropionate (GO:0033396)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
immune effector process (GO:0002252)	122	0	2.37	-	 < 0.01	1.79E-01	1.00E00
adaptive immune response (GO:0002250)	61	0	1.19	-	 < 0.01	6.33E-01	1.00E00
positive regulation of MHC class II biosynthetic process (GO:0045348)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
acetate ester metabolic process (GO:1900619)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of MHC class II biosynthetic process (GO:0045346)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of MHC class I biosynthetic process (GO:0045345)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of MHC class I biosynthetic process (GO:0045343)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
telomere maintenance via telomere trimming (GO:0090737)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA repair complex assembly (GO:0090735)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
NLS-bearing protein import into nucleus (GO:0006607)	9	1	.18	+	5.71	1.75E-01	1.00E00
protein targeting (GO:0006605)	132	1	2.57	-	.39	5.25E-01	1.00E00
phosphocreatine metabolic process (GO:0006603)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043162)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	208	5	4.05	+	1.24	6.09E-01	1.00E00
creatine biosynthetic process (GO:0006601)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
creatine metabolic process (GO:0006600)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
putrescine biosynthetic process from arginine, using agmatinase (GO:0033389)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
relaxation of cardiac muscle (GO:0055119)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
putrescine biosynthetic process from arginine (GO:0033388)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
putrescine biosynthetic process from ornithine (GO:0033387)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac muscle contraction (GO:0055117)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
geranyl diphosphate biosynthetic process (GO:0033384)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
geranyl diphosphate metabolic process (GO:0033383)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
epiboly involved in gastrulation with mouth forming second (GO:0055113)	41	0	.80	-	 < 0.01	1.00E00	1.00E00
farnesyl diphosphate metabolic process (GO:0045338)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
farnesyl diphosphate biosynthetic process (GO:0045337)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
cellular respiration (GO:0045333)	78	0	1.52	-	 < 0.01	4.09E-01	1.00E00
phospholipid translocation (GO:0045332)	43	0	.84	-	 < 0.01	1.00E00	1.00E00
negative regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043154)	10	0	.19	-	 < 0.01	1.00E00	1.00E00
entrainment of circadian clock by photoperiod (GO:0043153)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
induction of bacterial agglutination (GO:0043152)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
intracellular signal transduction (GO:0035556)	1251	20	24.34	-	.82	4.60E-01	1.00E00
oxidative single-stranded RNA demethylation (GO:0035553)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
oxidative single-stranded DNA demethylation (GO:0035552)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
invagination involved in gastrulation with mouth forming second (GO:0055109)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
Golgi to secretory granule transport (GO:0055107)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
response to molecule of bacterial origin (GO:0002237)	61	1	1.19	-	.84	1.00E00	1.00E00
leukocyte chemotaxis involved in immune response (GO:0002233)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
leukocyte chemotaxis involved in inflammatory response (GO:0002232)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of defense response to virus by host (GO:0002230)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
carnitine biosynthetic process (GO:0045329)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
ribosomal subunit export from nucleus (GO:0000054)	9	1	.18	+	5.71	1.75E-01	1.00E00
citrulline metabolic process (GO:0000052)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
late endosome to vacuole transport (GO:0045324)	11	0	.21	-	 < 0.01	1.00E00	1.00E00
urea cycle (GO:0000050)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
stress fiber assembly (GO:0043149)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
leukocyte activation (GO:0045321)	77	1	1.50	-	.67	1.00E00	1.00E00
snoRNA processing (GO:0043144)	11	0	.21	-	 < 0.01	1.00E00	1.00E00
electron transport coupled proton transport (GO:0015990)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
determination of left/right asymmetry in nervous system (GO:0035545)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of SNARE complex assembly (GO:0035542)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
toll-like receptor signaling pathway (GO:0002224)	25	0	.49	-	 < 0.01	1.00E00	1.00E00
pattern recognition receptor signaling pathway (GO:0002221)	28	0	.54	-	 < 0.01	1.00E00	1.00E00
transition metal ion transport (GO:0000041)	68	0	1.32	-	 < 0.01	6.43E-01	1.00E00
energy coupled proton transmembrane transport, against electrochemical gradient (GO:0015988)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
ATP synthesis coupled proton transport (GO:0015986)	20	0	.39	-	 < 0.01	1.00E00	1.00E00
energy coupled proton transport, down electrochemical gradient (GO:0015985)	20	0	.39	-	 < 0.01	1.00E00	1.00E00
DNA replication, removal of RNA primer (GO:0043137)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
anterior/posterior pattern specification involved in kidney development (GO:0072098)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
energy derivation by oxidation of organic compounds (GO:0015980)	107	1	2.08	-	.48	7.26E-01	1.00E00
activation of innate immune response (GO:0002218)	31	0	.60	-	 < 0.01	1.00E00	1.00E00
S-adenosylmethionine cycle (GO:0033353)	6	0	.12	-	 < 0.01	1.00E00	1.00E00
peptide modification (GO:0031179)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
retinal cell apoptotic process (GO:1990009)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
very long-chain fatty acid metabolic process (GO:0000038)	25	0	.49	-	 < 0.01	1.00E00	1.00E00
lifelong otolith mineralization (GO:0031174)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
cell wall mannoprotein biosynthetic process (GO:0000032)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
inhibition of cysteine-type endopeptidase activity involved in apoptotic process (GO:1990001)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
surfactant homeostasis (GO:0043129)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
stem cell proliferation (GO:0072089)	15	1	.29	+	3.43	2.65E-01	1.00E00
reproductive behavior (GO:0019098)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043124)	10	0	.19	-	 < 0.01	1.00E00	1.00E00
nephron epithelium morphogenesis (GO:0072088)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123)	30	1	.58	+	1.71	4.50E-01	1.00E00
renal vesicle development (GO:0072087)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)	46	1	.89	+	1.12	5.96E-01	1.00E00
monoubiquitinated histone H2A deubiquitination (GO:0035522)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
monoubiquitinated histone deubiquitination (GO:0035521)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
nephron tubule development (GO:0072080)	15	0	.29	-	 < 0.01	1.00E00	1.00E00
monoubiquitinated protein deubiquitination (GO:0035520)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
somatic diversification of immunoglobulins involved in immune response (GO:0002208)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
asparagine catabolic process via L-aspartate (GO:0033345)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
cholesterol efflux (GO:0033344)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
somatic recombination of immunoglobulin genes involved in immune response (GO:0002204)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
rRNA methylation (GO:0031167)	14	0	.27	-	 < 0.01	1.00E00	1.00E00
pelvic fin development (GO:0033340)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
ribosomal small subunit assembly (GO:0000028)	11	0	.21	-	 < 0.01	1.00E00	1.00E00
ribosomal large subunit assembly (GO:0000027)	15	0	.29	-	 < 0.01	1.00E00	1.00E00
somatic diversification of immune receptors (GO:0002200)	9	0	.18	-	 < 0.01	1.00E00	1.00E00
metallo-sulfur cluster assembly (GO:0031163)	15	0	.29	-	 < 0.01	1.00E00	1.00E00
diadenosine tetraphosphate biosynthetic process (GO:0015966)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
diadenosine tetraphosphate metabolic process (GO:0015965)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of vascular permeability (GO:0043116)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of vascular permeability (GO:0043114)	7	0	.14	-	 < 0.01	1.00E00	1.00E00
nephron tubule morphogenesis (GO:0072078)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
diadenosine polyphosphate catabolic process (GO:0015961)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
histone H2A monoubiquitination (GO:0035518)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
receptor clustering (GO:0043113)	21	0	.41	-	 < 0.01	1.00E00	1.00E00
renal vesicle morphogenesis (GO:0072077)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
diadenosine polyphosphate biosynthetic process (GO:0015960)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
receptor metabolic process (GO:0043112)	37	1	.72	+	1.39	5.19E-01	1.00E00
replication fork arrest (GO:0043111)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
oxidative RNA demethylation (GO:0035513)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
medial fin development (GO:0033338)	11	1	.21	+	4.67	2.06E-01	1.00E00
oxidative DNA demethylation (GO:0035511)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
DNA dealkylation (GO:0035510)	9	1	.18	+	5.71	1.75E-01	1.00E00
anal fin development (GO:0033335)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
diadenosine polyphosphate metabolic process (GO:0015959)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
viral genome replication (GO:0019079)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of GTP cyclohydrolase I activity (GO:0043105)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
late distal convoluted tubule development (GO:0072068)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
purine ribonucleotide interconversion (GO:0015951)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
purine nucleotide interconversion (GO:0015950)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
amino acid salvage (GO:0043102)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
virus maturation (GO:0019075)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
purine-containing compound salvage (GO:0043101)	13	0	.25	-	 < 0.01	1.00E00	1.00E00
regulation of motor neuron migration (GO:1905483)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of glutamate-ammonia ligase activity (GO:1905480)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
mRNA transcription (GO:0009299)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
GDP-mannose biosynthetic process (GO:0009298)	4	0	.08	-	 < 0.01	1.00E00	1.00E00
UDP-D-xylose biosynthetic process (GO:0033320)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	51	1	.99	+	1.01	1.00E00	1.00E00
anaphase-promoting complex-dependent catabolic process (GO:0031145)	12	0	.23	-	 < 0.01	1.00E00	1.00E00
mitochondrial genome maintenance (GO:0000002)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
nucleobase-containing small molecule interconversion (GO:0015949)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of glutamate-ammonia ligase activity (GO:1905478)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein localization to membrane (GO:1905477)	12	0	.23	-	 < 0.01	1.00E00	1.00E00
formate metabolic process (GO:0015942)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
virion assembly (GO:0019068)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein localization to membrane (GO:1905476)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to membrane (GO:1905475)	24	0	.47	-	 < 0.01	1.00E00	1.00E00
regulation of hexokinase activity (GO:1903299)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
virion attachment to host cell (GO:0019062)	2	0	.04	-	 < 0.01	1.00E00	1.00E00
UDP-D-xylose metabolic process (GO:0033319)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
S-shaped body morphogenesis (GO:0072050)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
protein localization to Golgi membrane (GO:1903292)	3	0	.06	-	 < 0.01	1.00E00	1.00E00
meiotic cell cycle checkpoint (GO:0033313)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of phagocytosis, engulfment (GO:0060099)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoskeletal rearrangement involved in phagocytosis, engulfment (GO:0060097)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
coenzyme A catabolic process (GO:0015938)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of synaptic transmission, glycinergic (GO:0060092)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
coenzyme A biosynthetic process (GO:0015937)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
coenzyme A metabolic process (GO:0015936)	8	0	.16	-	 < 0.01	1.00E00	1.00E00
comma-shaped body morphogenesis (GO:0072049)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
viral life cycle (GO:0019058)	11	0	.21	-	 < 0.01	1.00E00	1.00E00
renal system pattern specification (GO:0072048)	5	0	.10	-	 < 0.01	1.00E00	1.00E00
proximal/distal pattern formation involved in nephron development (GO:0072047)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
